category, label, undefined undefined link
COMMIT,  feature implementation/enhancement, Reorder radio buttons to match MS Paint I asked ChatGPT to do this because I'm tired and I was curious if it could understand. It did it straight away. I didn't even think about aligning the code like that, it's a good idea. > Prompt > Reorder these such that when layed out in a left to right top to bottom grid they're in order top to bottom left to right, with 3 columns: > > >                     RadioButton(_("100%"), id="value_1"), >                     RadioButton(_("200%"), id="value_2"), >                     RadioButton(_("400%"), id="value_4"), >                     RadioButton(_("600%"), id="value_6"), >                     RadioButton(_("800%"), id="value_8"), > ChatGPT > Here's the reordered code: > > bash > Copy code > RadioButton(_("100%"), id="value_1"), RadioButton(_("400%"), id="value_4"), RadioButton(_("800%"), id="value_8"), > RadioButton(_("200%"), id="value_2"), RadioButton(_("600%"), id="value_6"),
COMMIT,  documentation, Update docs. Increase size of textarea. Strip out quotes and extra spaces from text returned from ChatGPT
COMMIT,  feature implementation/enhancement, Created a fireworks app with ChatGPT 3.5
COMMIT,  feature implementation/enhancement, Allow `r_color` CVAR to _increase_ saturation. Max value now 200% Thanks alalil on Discord! And thanks ChatGPT for the code!
COMMIT,  feature implementation/enhancement, Generate types with ChatGPT
COMMIT,  development environment, Add "Update Website Links on Release" Workflow Authored by ChatGPT
COMMIT,  generating/manipulating data, add ChatGPT suggestions to bully messages
COMMIT,  feature implementation/enhancement, An app for computing similarity of text created by ChatGPT
COMMIT,  feature implementation/enhancement, docs : objectMapper with chatGPT
COMMIT,  feature implementation/enhancement, added chatGPT generated translation entries for engine operations and operation enum
COMMIT,  feature implementation/enhancement, grooming engine history to ui readable activities, with part ChatGPT generated code
COMMIT,  feature implementation/enhancement, feat: chatgpt review
COMMIT,  software quality, ChatGPT is refactoring-ish ChatGPT: A giant prompt and response below Human: There are still bits to do, and some suggestions were not great. >>> Prompt: Given this extract of javascript functions, names, classes, how should I refactor this into more managable files or modules or classes. RIght now they sit in one file:     class Lemming     function getDefaultLevelData(givenLevel = {})     function spawnLemming()     function playSoundEffect(name)     function createLemmings(amount)     function generateMapNoiseHash()     function generateMap(canvasWidth, canvasHeight)     function PerlinNoise2D(x, y) {     function fade(t) {     function lerp(t, a, b) {     function grad(hash, x, y) {     function renderDirtTexture()     function renderWaterTexture()     function renderRockTexture() {     function drawShapes(context, shapesArr)     function backupGradients(gradients) {     function setGradients(context, gradients)     function getHeightAdjustment(lem)     function getRectanglePoints(lemming, angle, length, height, collisionColors, offsetX = 0, offsetFromFeetY = 0, debugDraw = false) {     function startDigging(lemming)     function bash(lemming)     function dig(lemming)     function build(lemming)     function createHole(x, y) {     function doProgrammedActions(lemming)     function isPointWithinCircle(x,y,a,b,radius) {     function togglePause()     function toggleSetting(setting)     function Particle(x, y) {         Particle.prototype.update = function()         Particle.prototype.draw = function()     }     function spawnCombatText(text)     function applyAction(action)     function moveOverlappingLemmingsToRandomSideOfBlocker(blocker) {     function isColliding(obj1, obj2) {     function stopAction() {     function updateInfoDiv(lem)     function setPixel(x, y, colorBytes) {     function clearPixel(x, y, grayScale = 0) {     function getUniqueColors(canvas) {     function getPixelColor(imageData, x, y) {     function pixelIsColor(imageData, x, y, color, debug) {     function getPixelIndex(x, y, width) {     function isColorOneOf(needle, haystack) {     function getTerrainColors() {     function isPixelOneOf(imageData, x, y, haystack) {     function bound(value, min, max) {     function clearSmoothingOfTerrain(canvas, keepColors) {     function rgbToHex(r, g, b) {     function RNG(seed) {     function setBackgroundBuffer() {     function serialize(data) {     function deserialize(data) {     function saveToLocalStorage(key, data) {     function getFromLocalStorage(key) {     function fadeInCanvas() {     function fadeOutCanvas() {     function getOverallScore()     function levelCompleted()     function levelFailed()     function setupUI()     function getLemmingsRemaining()     function update() {     function startCanvasEventListeners()     function clearSquare(x, y, radius)     function checkLemmingFinish(lemming, finish) {     function setupStartFinish()     function renderDecorations()     function capitalize(str)     function adjustCanvasHeight()     function keyBindPressed(action)     function selectNextLemming() {     function selectPreviousLemming() {     function deselectLemmings() {     function restartLevel(canvasElt)     function exitGame()     function reset()     function initBackground()     function init(canvasElt, givenLevel = {}, debug = false)     function preStart()     function _start()     async function generateSprites()     async function _runOnce(resetLocalStorage = false)     function startGame() >>> ====================================================== >>> Human: I will include what ChatGPT said in response... >>> ====================================================== It seems like you have a lot of functions and classes in one file. It's recommended to break them down into smaller, more manageable files or modules based on their purpose. Assuming that these functions and classes are part of a game engine or game development project, here is a possible way to organize them into different files or modules: lemming.js: contains the Lemming class and related functions (getDefaultLevelData, spawnLemming,             createLemmings, etc.) sound.js: contains the playSoundEffect function map.js: contains functions related to map generation (generateMapNoiseHash, generateMap, PerlinNoise2D,         fade, lerp, grad, etc.), as well as functions for rendering textures (renderDirtTexture,         renderWaterTexture, renderRockTexture) and shapes (drawShapes, getRectanglePoints). actions.js: contains functions for lemming actions (startDigging, bash, dig, build, etc.), as well as             helper functions (getRectanglePoints, getHeightAdjustment) and related classes (Particle). collision.js: contains functions for handling collisions (moveOverlappingLemmingsToRandomSideOfBlocker,               isColliding, etc.), as well as helper functions (isPointWithinCircle). util.js: contains general utility functions (togglePause, toggleSetting, spawnCombatText, applyAction,          stopAction, updateInfoDiv, setPixel, clearPixel, getUniqueColors, getPixelColor, pixelIsColor,          getPixelIndex, isColorOneOf, getTerrainColors, isPixelOneOf, bound, clearSmoothingOfTerrain,          rgbToHex, RNG, setBackgroundBuffer, serialize, deserialize, saveToLocalStorage, getFromLocalStorage,          fadeInCanvas, fadeOutCanvas, getOverallScore, levelCompleted, levelFailed, setupUI,          getLemmingsRemaining, update, startCanvasEventListeners, clearSquare, checkLemmingFinish,          setupStartFinish, renderDecorations, capitalize, adjustCanvasHeight, keyBindPressed,          selectNextLemming, selectPreviousLemming, deselectLemmings, restartLevel, exitGame, reset,          initBackground, preStart, _start, generateSprites, _runOnce, startGame). main.js: contains the main logic for the game, such as setting up the canvas, loading assets, initializing          the game state, and starting the game loop. By breaking down your code into smaller files or          modules, you can make it easier to manage and maintain, as well as make it easier to update and          debug. You can also more easily reuse and share code between different projects. Remember to          properly export and import your functions and classes based on your language and module system.
COMMIT,  feature implementation/enhancement, Port launchEditor.js (from CRA) to Python with ChatGPT
COMMIT,  documentation, added some javadoc generated by ChatGPT
ISSUE, documentation, behave-graph bhouston 183
ISSUE, development environment, chatgpt-telegram-bot n3d1117 1
ISSUE, documentation, ddev ddev 4439
ISSUE, feature implementation/enhancement, compose_symphony_parser androslee 17
ISSUE, software quality, diesel diesel-rs 3449
ISSUE, process, glazed go-go-golems 50
ISSUE, software quality, cucumber-jvm cucumber 2666
ISSUE, learning, ipywidgets jupyter-widgets 3657
ISSUE, learning, python-zeep mvantellingen 1354
ISSUE, "software quality, undefined undefined software quality -> fixing -> functional bugs"ISSUE, feature implementation/enhancement, pyodide pyodide 3436
ISSUE, development environment, jetson-containers dusty-nv 214
ISSUE, process, wgpu-mc wgpu-mc 64
ISSUE, software quality, bolt-js slackapi 1715
ISSUE, process, fiber gofiber 2301
ISSUE, software quality, sd-webui-additional-networks kohya-ss 43
ISSUE, software quality, capture-lite numbersprotocol 2510
ISSUE, software quality, capture-lite numbersprotocol 2511
ISSUE, learning, instruct-pix2pix timothybrooks 28
ISSUE, development environment, gophish gophish 2737
ISSUE, documentation, dojo pwncollege 132
ISSUE, software quality, capture-lite numbersprotocol 2516
ISSUE, learning, sdk meganz 2631
ISSUE, learning, github-app-token tibdex 66
ISSUE, software quality, filedrop-web mat-sz 20
ISSUE, software quality, raspiblitz rootzoll 3640
ISSUE, feature implementation/enhancement, win-wallpaper sindresorhus 7
ISSUE, software quality, whatsapp-chatgpt askrella 20
ISSUE, feature implementation/enhancement, jira2markdown catcombo 17
ISSUE, process, ray ray-project 32213
ISSUE, learning, spring-cloud-stream spring-cloud 2643
ISSUE, learning, mod_auth_mellon latchset 117
ISSUE, development environment, pi-cluster geerlingguy 4
ISSUE, process, connect talent-connect 658
ISSUE, software quality, keycloak keycloak 17101
ISSUE, learning, shaka-player shaka-project 5015
ISSUE, generating/manipulating data, subfinder projectdiscovery 763
ISSUE, learning, django-oscar-paypal django-oscar 291
ISSUE, learning, psutil giampaolo 2205
ISSUE, learning, ijkplayer bilibili 5509
ISSUE, learning, wcf dotnet 5015
ISSUE, feature implementation/enhancement, djl deepjavalibrary 2420
ISSUE, "feature implementation/enhancement, undefined undefined software quality -> fixing -> functional bugs"ISSUE, "feature implementation/enhancement, undefined undefined software quality -> fixing -> functional bugs"ISSUE, software quality, expo expo 21430
ISSUE, documentation, yabai koekeishiya 1652
ISSUE, learning, node-telegram-bot-api yagop 1065
ISSUE, learning, nativefier nativefier 1513
ISSUE, learning, piper rhasspy 21
ISSUE, documentation, learn netdata 1480
ISSUE, software quality, cytospace digitalcytometry 56
ISSUE, feature implementation/enhancement, apple-notes-to-sqlite dogsheep 1
ISSUE, learning, vocal-remover tsurumeso 122
ISSUE, process, chatgpt-github-app flows-network 2
ISSUE, software quality, audio-guestbook playfultechnology 66
ISSUE, learning, python-telegram-bot python-telegram-bot 3596
ISSUE, documentation, reatom artalar 506
ISSUE, software quality, backtesting.py kernc 936
ISSUE, software quality, openlibrary internetarchive 7667
ISSUE, process, gpt-repository-loader mpoon 23
ISSUE, learning, numexpr pydata 432
ISSUE, feature implementation/enhancement, cito pfusik 80
ISSUE, learning, nitro unjs 1076
ISSUE, generating/manipulating data, napkin-math sirupsen 26
ISSUE, learning, wazuh-docker wazuh 789
ISSUE, documentation, datasette-chatgpt-plugin simonw 1
ISSUE, feature implementation/enhancement, proposal-regex-escaping tc39 57
ISSUE, learning, jattach jattach 69
ISSUE, process, js-libp2p libp2p 1648
ISSUE, feature implementation/enhancement, aichat sigoden 98
ISSUE, software quality, lowcode-engine alibaba 1791
ISSUE, feature implementation/enhancement, notify_push nextcloud 249
ISSUE, "documentation, undefined undefined tool"ISSUE, process, chakra-templates hauptrolle 271
ISSUE, software quality, rehype-attr jaywcjlove 46
ISSUE, process, servertap phybros 202
ISSUE, learning, arkos christianhaitian 685
ISSUE, documentation, risingwave-docs risingwavelabs 697
ISSUE, learning, winget-cli microsoft 3122
ISSUE, software quality, pgantomizer asgeirrr 8
ISSUE, learning, pyswisseph astrorigin 61
ISSUE, learning, jekyll jekyll 9330
ISSUE, software quality, puppeteer puppeteer 9959
ISSUE, learning, cursor getcursor 420
ISSUE, "software quality, undefined undefined software quality -> fixing -> performance-related"ISSUE, feature implementation/enhancement, chatgpt-wrapper mmabrouk 277
ISSUE, "feature implementation/enhancement, undefined undefined enhancement -> implementing a new feature"ISSUE, software quality, freqtrade freqtrade 8456
ISSUE, learning, entt skypjack 1003
ISSUE, learning, module-federation-examples module-federation 2942
ISSUE, feature implementation/enhancement, pygpt4all nomic-ai 56
ISSUE, development environment, compact-json masaccio 24
ISSUE, software quality, devise-api nejdetkadir 20
ISSUE, documentation, sqlite capacitor-community 400
ISSUE, learning, intellij-javacc oowekyala 29
ISSUE, learning, asdf-postgres smashedtoatoms 70
ISSUE, learning, go-openai sashabaranov 262
ISSUE, software quality, rod go-rod 864
ISSUE, learning, pycurl pycurl 791
ISSUE, feature implementation/enhancement, videospeed igrigorik 1035
ISSUE, software quality, project_openai_codex adrianhajdin 53
ISSUE, process, use-shopping-cart dayhaysoos 320
ISSUE, learning, gritty cloudcmd 17
ISSUE, feature implementation/enhancement, whisper.cpp ggerganov 821
ISSUE, learning, gpdb greenplum-db 15415
ISSUE, feature implementation/enhancement, wowreeb namreeb 21
ISSUE, learning, pytube pytube 1560
ISSUE, feature implementation/enhancement, crates.io rust-lang 6397
ISSUE, learning, fmrest thomann061 24
ISSUE, learning, mediapipe google 4357
ISSUE, documentation, learn netdata 1623
ISSUE, learning, cppkafka mfontanini 303
ISSUE, feature implementation/enhancement, ipyreact widgetti 24
ISSUE, process, bloxstrap pizzaboxer 224
ISSUE, learning, chezmoi twpayne 2981
ISSUE, feature implementation/enhancement, community.general ansible-collections 6509
ISSUE, feature implementation/enhancement, thymeleafjs ultraq 49
ISSUE, learning, gophish gophish 2859
ISSUE, learning, volatility3 volatilityfoundation 954
ISSUE, feature implementation/enhancement, asio chriskohlhoff 1300
ISSUE, software quality, iari internetarchive 801
ISSUE, learning, hackrf greatscottgadgets 1325
ISSUE, learning, whatsapp-web.js pedroslopez 2203
ISSUE, feature implementation/enhancement, pycairo pygobject 321
ISSUE, software quality, orval anymaniax 867
ISSUE, generating/manipulating data, robotoff openfoodfacts 1121
ISSUE, learning, llama facebookresearch 312
ISSUE, development environment, next-auth nextauthjs 7656
ISSUE, feature implementation/enhancement, troubleshoot replicatedhq 1182
ISSUE, feature implementation/enhancement, ahoy lumapu 964
ISSUE, software quality, aquatemp radical-squared 24
ISSUE, learning, mmdetection open-mmlab 10417
ISSUE, feature implementation/enhancement, firebase-admin-node firebase 2204
ISSUE, "learning, undefined undefined software quality -> refactoring"ISSUE, software quality, netbeans apache 6018
ISSUE, software quality, pyzmq zeromq 1875
ISSUE, development environment, kops kubernetes 15467
ISSUE, feature implementation/enhancement, darktable darktable-org 14656
ISSUE, software quality, tensorflow tensorflow 60800
ISSUE, learning, imapx azanov 31
ISSUE, feature implementation/enhancement, camera-controls yomotsu 428
ISSUE, software quality, notable notable 1686
ISSUE, software quality, bloom bits-and-blooms 90
PULL-REQUEST, software quality, osmosis osmosis-labs 3611
PULL-REQUEST, documentation, sphinx-relay stakwork 505
PULL-REQUEST, software quality, chat-ai-desktop sonnylazuardi 2
PULL-REQUEST, documentation, chatgpt-api transitive-bullshit 45
PULL-REQUEST, development environment, chatgpt-telegram-bot n3d1117 2
PULL-REQUEST, software quality, cloudbeat elastic 573
PULL-REQUEST, documentation, codalab-worksheets codalab 4331
PULL-REQUEST, software quality, matplotlib-3d rougier 9
PULL-REQUEST, software quality, chatgpt kkdai 4
PULL-REQUEST, feature implementation/enhancement, phpredis phpredis 2296
PULL-REQUEST, feature implementation/enhancement, how-to-fix-paypal kitbogashow 18
PULL-REQUEST, documentation, quickadd chhoumann 349
PULL-REQUEST, process, pixiebrix-extension pixiebrix 4920
PULL-REQUEST, software quality, kyverno kyverno 5834
PULL-REQUEST, process, lunasec lunasec-io 1070
PULL-REQUEST, feature implementation/enhancement, prodigy-openai-recipes explosion 50
PULL-REQUEST, software quality, vscode microsoft 170642
PULL-REQUEST, documentation, pbt-chip-client chiru-labs 5
PULL-REQUEST, "learning, undefined undefined software quality -> fixing -> performance-related"PULL-REQUEST, software quality, snake-on-pygame voaneves 3
PULL-REQUEST, learning, urbit-hosting ashelkovnykov 3
PULL-REQUEST, documentation, features devcontainers-contrib 291
PULL-REQUEST, documentation, slither crytic 1633
PULL-REQUEST, software quality, tinygrad geohot 500
PULL-REQUEST, software quality, github-for-jira atlassian 1873
PULL-REQUEST, generating/manipulating data, deepl-for-slack-elixir monstar-lab-oss 26
PULL-REQUEST, documentation, jendeley akawashiro 221
PULL-REQUEST, documentation, iwf indeedeng 177
PULL-REQUEST, software quality, chatgpt-plus-api-client mzbac 12
PULL-REQUEST, software quality, azurefile-csi-driver kubernetes-sigs 1189
PULL-REQUEST, documentation, az_quickstart az-digital 2226
PULL-REQUEST, feature implementation/enhancement, argent-x argentlabs 1767
PULL-REQUEST, software quality, titanium_mobile tidev 13749
PULL-REQUEST, documentation, layotto mosn 866
PULL-REQUEST, software quality, skipper lukasjarosch 68
PULL-REQUEST, feature implementation/enhancement, layotto mosn 868
PULL-REQUEST, feature implementation/enhancement, celerity-runtime celerity 161
PULL-REQUEST, feature implementation/enhancement, layotto mosn 869
PULL-REQUEST, software quality, clipable clipable 77
PULL-REQUEST, software quality, opentype.js opentypejs 572
PULL-REQUEST, feature implementation/enhancement, franklin zorn 151
PULL-REQUEST, feature implementation/enhancement, web-client-ui deephaven 1118
PULL-REQUEST, feature implementation/enhancement, chatgpt-api transitive-bullshit 407
PULL-REQUEST, feature implementation/enhancement, dream-textures carson-katri 584
PULL-REQUEST, development environment, rector-src rectorphp 3439
PULL-REQUEST, generating/manipulating data, bobbit pbui 73
PULL-REQUEST, feature implementation/enhancement, zamm amosjyng 28
PULL-REQUEST, "documentation, undefined undefined documentation -> improving writing"PULL-REQUEST, software quality, sourcegraph sourcegraph 48659
PULL-REQUEST, software quality, reactos reactos 5116
PULL-REQUEST, software quality, openaigo otiai10 7
PULL-REQUEST, feature implementation/enhancement, vcmi vcmi 1659
PULL-REQUEST, process, aperture fluxninja 1546
PULL-REQUEST, process, aperture fluxninja 1555
PULL-REQUEST, process, aperture fluxninja 1560
PULL-REQUEST, process, aperture fluxninja 1561
PULL-REQUEST, process, aperture fluxninja 1562
PULL-REQUEST, process, aperture fluxninja 1564
PULL-REQUEST, process, aperture fluxninja 1567
PULL-REQUEST, "software quality, PR description" issue PR description"PULL-REQUEST, documentation, pyvista pyvista 4118
PULL-REQUEST, "software quality, PR description" issue PR description"PULL-REQUEST, "software quality, PR description" issue PR description"PULL-REQUEST, "documentation, undefined undefined software quality -> testing -> generating tests"PULL-REQUEST, feature implementation/enhancement, woocommerce woocommerce 37233
PULL-REQUEST, software quality, lampa-source yumata 134
PULL-REQUEST, feature implementation/enhancement, kivy kivy 8170
PULL-REQUEST, documentation, lumo lumo-tech 10
PULL-REQUEST, software quality, sentry-javascript getsentry 7505
PULL-REQUEST, software quality, csharp-sdk optimizely 338
PULL-REQUEST, software quality, greenlight bigbluebutton 5041
PULL-REQUEST, "process, undefined undefined enhancement -> implementing a new featurePULL-REQUEST, documentation, react_app udibo 61
PULL-REQUEST, feature implementation/enhancement, lazydocker jesseduffield 441
PULL-REQUEST, software quality, android-templates nimblehq 446
PULL-REQUEST, development environment, android-templates nimblehq 447
PULL-REQUEST, development environment, iotex-core iotexproject 3824
PULL-REQUEST, software quality, macaca-datahub macacajs 243
PULL-REQUEST, development environment, ant-design-mini ant-design 658
PULL-REQUEST, documentation, agb agbrs 398
PULL-REQUEST, software quality, lowcode-engine alibaba 1784
PULL-REQUEST, documentation, chatgpt-retrieval-plugin openai 30
PULL-REQUEST, development environment, iotex-core iotexproject 3827
PULL-REQUEST, software quality, autoware.universe autowarefoundation 3170
PULL-REQUEST, software quality, iotex-core iotexproject 3828
PULL-REQUEST, software quality, iotex-core iotexproject 3831
PULL-REQUEST, software quality, iotex-core iotexproject 3833
PULL-REQUEST, software quality, iotex-core iotexproject 3834
PULL-REQUEST, software quality, iotex-core iotexproject 3835
PULL-REQUEST, feature implementation/enhancement, dodona dodona-edu 4510
PULL-REQUEST, feature implementation/enhancement, skipper zalando 2259
PULL-REQUEST, software quality, iotex-core iotexproject 3837
PULL-REQUEST, feature implementation/enhancement, foodsoft foodcoops 988
PULL-REQUEST, generating/manipulating data, policy_templates flexera-public 1223
PULL-REQUEST, software quality, rqlite rqlite 1192
PULL-REQUEST, learning, stanford_alpaca tatsu-lab 160
PULL-REQUEST, software quality, kiali kiali 5973
PULL-REQUEST, software quality, kiali kiali 5974
PULL-REQUEST, documentation, webp_server_go webp-sh 186
PULL-REQUEST, "software quality, undefined undefined software quality -> fixing -> functional bugsPULL-REQUEST, documentation, koenvangilst.nl vnglst 125
PULL-REQUEST, "software quality, undefined undefined software quality -> fixing -> performance-related"PULL-REQUEST, learning, boa imgcook 20
PULL-REQUEST, documentation, mrsk mrsked 179
PULL-REQUEST, process, babyagi yoheinakajima 9
PULL-REQUEST, development environment, lnd lightningnetwork 7577
PULL-REQUEST, development environment, incubated smart-data-models 119
PULL-REQUEST, feature implementation/enhancement, twitter-algorithm coryetzkorn 9
PULL-REQUEST, documentation, clean-code-javascript ryanmcdermott 424
PULL-REQUEST, feature implementation/enhancement, window.ai alexanderatallah 12
PULL-REQUEST, feature implementation/enhancement, foodsoft foodcoops 995
PULL-REQUEST, feature implementation/enhancement, devbox jetpack-io 901
PULL-REQUEST, feature implementation/enhancement, pixiebrix-extension pixiebrix 5525
PULL-REQUEST, development environment, hummingbot hummingbot 6229
PULL-REQUEST, software quality, typescript-eslint typescript-eslint 6915
PULL-REQUEST, feature implementation/enhancement, chatgpt-telegram-bot n3d1117 237
PULL-REQUEST, feature implementation/enhancement, groceries davideshay 8
PULL-REQUEST, feature implementation/enhancement, greenshot greenshot 484
PULL-REQUEST, software quality, passport-extension shilomagen 16
PULL-REQUEST, development environment, gpt-pullrequest-updater ravilushqa 1
PULL-REQUEST, process, appsmith appsmithorg 22627
PULL-REQUEST, documentation, supercollider supercollider 6013
PULL-REQUEST, "documentation, undefined undefined software quality -> refactoring"PULL-REQUEST, development environment, gpt-pullrequest-updater ravilushqa 2
PULL-REQUEST, documentation, tzf ringsaturn 116
PULL-REQUEST, documentation, supercollider supercollider 6014
PULL-REQUEST, documentation, supercollider supercollider 6015
PULL-REQUEST, documentation, ray ray-project 34782
PULL-REQUEST, process, atom atom-community 496
PULL-REQUEST, software quality, storybook storybookjs 22325
PULL-REQUEST, documentation, microservices-ecommerce thasup 134
PULL-REQUEST, feature implementation/enhancement, co-op-tetris lukasolson 6
PULL-REQUEST, documentation, hyv failfa-st 1
PULL-REQUEST, software quality, nextclade nextstrain 1144
PULL-REQUEST, software quality, fastapi-async-langchain ajndkr 18
PULL-REQUEST, feature implementation/enhancement, skylink jessejanderson 5
PULL-REQUEST, feature implementation/enhancement, btcpayserver-doc btcpayserver 1279
PULL-REQUEST, software quality, stac-server stac-utils 485
PULL-REQUEST, documentation, snips.sh robherley 17
PULL-REQUEST, feature implementation/enhancement, matrix-dotnet-sdk baking-bad 11
PULL-REQUEST, software quality, python-minecraft-clone obiwac 94
PULL-REQUEST, "software quality, undefined undefined software quality -> fixing -> performance-related"PULL-REQUEST, learning, core-geonetwork geonetwork 7062
PULL-REQUEST, "software quality, undefined undefined software quality -> fixing -> performance-related"PULL-REQUEST, feature implementation/enhancement, druid apache 14238
PULL-REQUEST, feature implementation/enhancement, woocommerce woocommerce 38233
PULL-REQUEST, documentation, external-secrets external-secrets 2308
PULL-REQUEST, development environment, botonic hubtype 2491
PULL-REQUEST, feature implementation/enhancement, logseq-anki-sync debanjandhar12 190
PULL-REQUEST, software quality, 64doom jnmartin84 33
PULL-REQUEST, feature implementation/enhancement, nix-gaming fufexan 73
PULL-REQUEST, development environment, pytest-console-scripts kvas-it 76
PULL-REQUEST, feature implementation/enhancement, platform codelab-app 2677
PULL-REQUEST, documentation, asciidoctorj asciidoctor 1210
PULL-REQUEST, development environment, gateway envoyproxy 1467
PULL-REQUEST, feature implementation/enhancement, garden garden-io 4553
PULL-REQUEST, process, spacedrive spacedriveapp 925
PULL-REQUEST, process, cglm recp 309
PULL-REQUEST, software quality, zenml zenml-io 1605
